function,runtime_seconds,num_rows,target_variance,target_num_unique,target_stdev,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_regressor,0.723841190338,1120,0.034355337246,95,0.185351928088,RFR,,,68.0219067502,11.6828068783
run_regressor,0.0490281581879,1120,0.034355337246,95,0.185351928088,LinR,,,42.9915889581,47.1479394913
run_classifier,3.50898694992,1120,,95,,LogRC,0.0563674321503,0.176785714286,,
run_classifier,0.38577914238,1120,,95,,DTC,0.0521920668058,0.866071428571,,
run_classifier,2.08168387413,1120,,95,,SVC,0.0208768267223,0.0375,,
run_classifier,0.831178188324,1120,,95,,RFC,0.0438413361169,0.85625,,
run_regressor,0.765407085419,1120,0.0385779286602,134,0.196412648931,RFR,,,479.930299235,111.563194444
run_regressor,0.0535881519318,1120,0.0385779286602,134,0.196412648931,LinR,,,422.580781799,445.336952183
run_classifier,4.33818602562,1120,,134,,LogRC,0.0187891440501,0.105357142857,,
run_classifier,0.516320943832,1120,,134,,DTC,0.0313152400835,0.855357142857,,
run_classifier,3.10263895988,1120,,134,,SVC,0.0208768267223,0.0348214285714,,
run_classifier,1.06587100029,1120,,134,,RFC,0.0313152400835,0.849107142857,,
run_regressor,0.787678956985,1120,0.0630290991938,79,0.25105596825,RFR,,,114.320742287,29.0953174603
run_regressor,0.0556938648224,1120,0.0630290991938,79,0.25105596825,LinR,,,128.799809622,129.828133903
run_classifier,3.01020884514,1120,,79,,LogRC,0.127348643006,0.191964285714,,
run_classifier,0.33789896965,1120,,79,,DTC,0.0542797494781,0.85625,,
run_classifier,1.72361707687,1120,,79,,SVC,0.0062630480167,0.113392857143,,
run_classifier,0.805337905884,1120,,79,,RFC,0.0793319415449,0.85625,,
run_regressor,0.858597993851,1120,0.0276811423615,81,0.166376507841,RFR,,,130.790470888,28.69525
run_regressor,0.0485730171204,1120,0.0276811423615,81,0.166376507841,LinR,,,155.203797126,140.099544577
run_classifier,2.60039806366,1120,,81,,LogRC,0.100208768267,0.185714285714,,
run_classifier,0.326174974442,1120,,81,,DTC,0.098121085595,0.857142857143,,
run_classifier,2.22576999664,1120,,81,,SVC,0.108559498956,0.0946428571429,,
run_classifier,0.741959095001,1120,,81,,RFC,0.0793319415449,0.848214285714,,
run_regressor,0.843104839325,1120,0.0231039546897,139,0.151999850953,RFR,,,429.429635815,102.598853175
run_regressor,0.0442109107971,1120,0.0231039546897,139,0.151999850953,LinR,,,415.790089125,391.87090797
run_classifier,4.50470685959,1120,,139,,LogRC,0.027139874739,0.134821428571,,
run_classifier,0.482045888901,1120,,139,,DTC,0.0104384133612,0.858928571429,,
run_classifier,2.83698797226,1120,,139,,SVC,0.0167014613779,0.0401785714286,,
run_classifier,1.04238915443,1120,,139,,RFC,0.00835073068894,0.857142857143,,
run_regressor,0.783015012741,1120,0.031166333453,55,0.176539891959,RFR,,,58.6986221294,10.7260833333
run_regressor,0.0499348640442,1120,0.031166333453,55,0.176539891959,LinR,,,72.0555017098,49.0250189913
run_classifier,2.2115149498,1120,,55,,LogRC,0.0647181628392,0.180357142857,,
run_classifier,0.257693052292,1120,,55,,DTC,0.0814196242171,0.865178571429,,
run_classifier,1.51212596893,1120,,55,,SVC,0.0709812108559,0.0955357142857,,
run_classifier,0.731800079346,1120,,55,,RFC,0.0960334029228,0.861607142857,,
run_regressor,0.776237010956,1120,0.0509378286384,141,0.225694104128,RFR,,,412.30619449,96.120013556
run_regressor,0.0521569252014,1120,0.0509378286384,141,0.225694104128,LinR,,,503.509757354,412.032285884
run_classifier,5.19269108772,1120,,141,,LogRC,0.0187891440501,0.161607142857,,
run_classifier,0.607577085495,1120,,141,,DTC,0.0229645093946,0.853571428571,,
run_classifier,3.90483093262,1120,,141,,SVC,0.0167014613779,0.0294642857143,,
run_classifier,1.11074185371,1120,,141,,RFC,0.0480167014614,0.8625,,
run_regressor,0.793792963028,1120,0.0575310780952,297,0.23985636972,RFR,,,3476.05498492,549.923257937
run_regressor,0.0548930168152,1120,0.0575310780952,297,0.23985636972,LinR,,,2470.92137843,2102.36610119
run_classifier,7.32232499123,1120,,297,,LogRC,0.0,0.175,,
run_classifier,0.923547029495,1120,,297,,DTC,0.00417536534447,0.850892857143,,
run_classifier,7.98166704178,1120,,297,,SVC,0.0,0.0339285714286,,
run_classifier,1.60679292679,1120,,297,,RFC,0.0062630480167,0.858928571429,,
run_regressor,0.780701875687,1120,0.0308836308203,86,0.17573739164,RFR,,,78.2888888889,18.2001428571
run_regressor,0.0471999645233,1120,0.0308836308203,86,0.17573739164,LinR,,,62.423115942,77.5491146023
run_classifier,3.34927487373,1120,,86,,LogRC,0.0229645093946,0.166071428571,,
run_classifier,0.365110874176,1120,,86,,DTC,0.0438413361169,0.858928571429,,
run_classifier,1.86358904839,1120,,86,,SVC,0.0334029227557,0.0339285714286,,
run_classifier,0.861909151077,1120,,86,,RFC,0.0334029227557,0.857142857143,,
run_regressor,0.800136089325,1120,0.0273309717075,89,0.165320814502,RFR,,,149.433096729,43.3748611111
run_regressor,0.0456709861755,1120,0.0273309717075,89,0.165320814502,LinR,,,151.401249666,183.065264693
run_classifier,3.14659690857,1120,,89,,LogRC,0.0375782881002,0.145535714286,,
run_classifier,0.348773956299,1120,,89,,DTC,0.0250521920668,0.857142857143,,
run_classifier,1.92195415497,1120,,89,,SVC,0.0459290187891,0.0455357142857,,
run_classifier,0.849331140518,1120,,89,,RFC,0.035490605428,0.85,,
run_regressor,0.764894962311,1120,0.0462852971849,50,0.215140180312,RFR,,,62.2079239156,16.638484127
run_regressor,0.0452990531921,1120,0.0462852971849,50,0.215140180312,LinR,,,52.7988784802,58.2016129803
run_classifier,2.03253006935,1120,,50,,LogRC,0.0855949895616,0.183035714286,,
run_classifier,0.249508142471,1120,,50,,DTC,0.062630480167,0.866071428571,,
run_classifier,1.37973594666,1120,,50,,SVC,0.0647181628392,0.0973214285714,,
run_classifier,0.663702011108,1120,,50,,RFC,0.0835073068894,0.866964285714,,
run_regressor,0.740464925766,1120,0.0262663092046,6,0.162068840943,RFR,,,0.445344467641,0.116015873016
run_regressor,0.0524079799652,1120,0.0262663092046,6,0.162068840943,LinR,,,0.454214401565,0.41311755608
run_classifier,0.278731107712,1120,,6,,LogRC,0.603340292276,0.595535714286,,
run_classifier,0.101344823837,1120,,6,,DTC,0.453027139875,0.932142857143,,
run_classifier,0.648424863815,1120,,6,,SVC,0.390396659708,0.444642857143,,
run_classifier,0.43953704834,1120,,6,,RFC,0.536534446764,0.926785714286,,
